Region,Country,Year,Reference date,Reference,URL,NATLEX ISN,General remarks
Asia,Japan,2019,2018-07-06,"Labour Contract Act [LCA], Act No. 128 of December 5, 2007  as last amended by Act No.59 of 10 August 2012 last amended by the Work Style Reform Act 2018",http://www.japaneselawtranslation.go.jp/law/detail/?id=2578&vm=04&re=02,79056.0,
Asia,Japan,2019,2019-06-14,"Civil Code [CC], Law No. 89 of 27 April, 1896, as amended through Act No. 34 of 2019",http://www.japaneselawtranslation.go.jp/law/detail/?re=02&dn=1&x=0&y=0&co=1&ia=03&ja=04&yo=civil+code&gn=&sy=&ht=&no=&bu=&ta=&ky=&page=4,,
Asia,Japan,2019,2019-06-05,"Employment Measures Act [EMA], Act No. 132 of July 21, 1966 as last amended by Act No. 79 of July, 15, 2009,  last amended by the Work Style Reform Act 2018, with the new title “Act on Comprehensive Promotion of Labour Policies, Employment Stability, and Improvement of Working Life (ACPLP)”, as last amended by Act No. 24 of 2019",http://www.japaneselawtranslation.go.jp/law/detail/?re=01&dn=1&x=0&y=0&co=1&ia=03&yo=&gn=&sy=&ht=&no=&bu=&ta=&ky=%E9%9B%87%E7%94%A8%E5%AF%BE%E7%AD%96%E6%B3%95&page=4&id=2227&lvm=02,,
Asia,Japan,2019,2019-06-05,"Act on Securing, etc. of Equal Opportunity and Treatment between Men and Women in Employment, Act No. 113 of 1972, (Equal Employment Opportunity Act: EEOA), as last amended by Act No. 24 of 2019",http://www.japaneselawtranslation.go.jp/law/detail/?re=02&ky=ask&ia=03&page=91&la=01&ja=04,,
Asia,Japan,2019,2018-06-08,"Trade Union Act, Act No. 174 of June 1, 1949 as last amended by Act No. 41 of 2018",http://www.japaneselawtranslation.go.jp/law/detail_main?re=&vm=02&id=17,27190.0,
Asia,Japan,2019,2019-06-09,"Act on Improvement, etc. of Employment Management for Part-Time Workers (Act No. 76 of 1993) (Part-Time Workers Act) [PTA], as amended by the Work Style Reform Act of 2018, and by Act No. 24 of 2019. The Title of the Act has changed to the Part-Time and Fixed-Term Workers Act.",http://www.japaneselawtranslation.go.jp/law/detail_main?re=&vm=02&id=3400,,
Asia,Japan,2019,2004-05-12,"Labour Tribunal Act [LTA], No. 45 of 2004",,67684.0,
Asia,Japan,2019,2001-07-11,Act on Promoting the Resolution of Individual Labour-Related Disputes (Act No. 112 of 2001),http://www.japaneselawtranslation.go.jp/law/detail_main?re=&vm=2&id=118,,
Europe,Kyrgyzstan,2019,2017-07-28,"Labour Code of 2004, as last amended on 26 June 2018 with Law No.62",http://cbd.minjust.gov.kg/act/view/ru-ru/1505,,
Asia,Cambodia,2018,2007-07-20,"Labour Code [LC], dated 10 January 1997 last amended by Royal Kram No. 0707-020 of 20 July 2007",https://www.arbitrationcouncil.org/resources/laws-regulations/,46560.0,
Asia,Cambodia,2018,2016-05-17,"Trade Union Law, dated 17 May 2016",,103389.0,
Asia,Cambodia,2018,2004-04-21,"Prakas No. 99 on the Arbitration Council of 21 April 2004, MOSALVY",,82037.0,
Africa,Comoros,2019,2012-06-28,"Labour Code [LC], Act of 28 June 2012",,91298.0,
Asia,"Korea, Republic of",2019,2012-02-01,"Labour Standards Act [LSA], Act No. 5309 of  17 March 1997, as last amended by Act No. 11270 of 2012",https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/46401/74081/F437818795/KOR46401%20Eng2014.pdf,46401.0,
Asia,"Korea, Republic of",2019,2013-06-28,"Enforcement Decree of the Labour Standards Act [ED-LSA], Presidential Decree No. 15320 of 27 March 1997, as last amended by Decree No. 24652 of 2013",https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/56136/74080/F1641602619/KOR56136%20Eng.pdf,56136.0,
Asia,"Korea, Republic of",2019,2014-05-20,"Trade Union and Labour Relations Adjustment Act [TULRAA], Act No. 5310 of 13 March 1997, as last amended by Act No. 12630 of 2014",https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/46398/98328/F1771693212/KOR46398%2020,46398.0,
Asia,"Korea, Republic of",2019,2012-02-01,"Act on the Protection of Fixed term and Part time Employees [FTPTE], Act No. 8074 of 21 December 2006, as amended by Act  No. 11273 of 2012",https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/79807/85982/F-2091075080/KOR79807%20Eng%202012.pdf,79807.0,
Asia,"Korea, Republic of",2019,2012-01-06,"Enforcement Decree of the Act on the Protection of Fixed term and Part time Employees [ED-FTPTE], Presidential Decree, No. 20093 of 2007,  as last amended by presidential Decree No. 23488 of 2012",https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/79808/85989/F-1973054952/KOR79808%20Eng%202012.pdf,79808.0,
Asia,"Korea, Republic of",2019,2012-06-01,"Equal Employment Act [EEA], Act No. 3989 of 4 December 1987, as last amended by Acts No. 111461 of 2012",https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/27217/74077/F1167059458/KOR27217%20Eng%202013.pdf,27217.0,
Asia,"Korea, Republic of",2019,2015-01-20,"Labour Relations Commission Act [LRCA], Act No. 5311 of 13 March 1997, as last amended by Act No. 13044 of 2015",https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/46399/74088/F1051951195/KOR46399%202015.pdf,46399.0,
Asia,"Korea, Republic of",2019,2010-06-04,"Act on Age Discrimination Prohibition in Employment and Aged Employment Promotion, Act No. 4487 of 31 December 1991, as last amended by Act No. 10339 of 2010",https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/86725/98342/F1403754509/KOR86725%20Eng%202011.pdf,86725.0,
Europe,Kazakhstan,2019,2017-11-30,Labour Code of 2017,http://www.mikosoft.kz/trudovoy-codex-2016.html,76433.0,
Europe,Kazakhstan,2019,2014-06-27,Law No. 211-V ZRK of 27 June 2014 on Trade Unions.,http://egov.kz/wps/portal/!ut/p/b0/04_Sj9CPykssy0xPLMnMz0vMAfIjc7PyChKtUvKTS3NT80r0w_Wj9KNgPM8U_cgoQxMDEDAyNARJ5STmpZcmpqfqRxaV6hfk5lqUOyoqAgDUGQ3g/#z95,97827.0,
Europe,Kazakhstan,2019,,Governmental Portal for Social/Public Services:,http://egov.kz/cms/ru/law/list/K1500000414,,
Americas,Saint Lucia,2017,2012-08-01,"Labour Code of 2006, renamed Labour Act No. 37 of 2006, following the adoption of the Labour Code (Amendment Act) No. 6 of 2001, Act 37 of 2006.",http://www.govt.lc/media.govt.lc/www/resources/legislation/SaintLuciaLabourCode2006.pdf,90251.0,
Americas,Saint Lucia,2017,2012-08-01,Act No. 6 of 2011 to amend the Labour Code No. 37 of 2006<br/>,,90256.0,
Asia,Sri Lanka,2019,2008-03-28,"Termination of Employment of Workmen (Special Provisions) Act No. 45 of 1971 (TEWA), consolidated version including last amendment of 2008 (Act No 20 of 2008)",,17028.0,
Asia,Sri Lanka,2019,2011-10-06,"Industrial Disputes Act No. 43 of 1950 (IDA), as last amended by Act 39 of 2011",,,
Asia,Sri Lanka,2019,2003-01-01,"Industrial Disputes (Hearing And Determination Of Proceedings)(Special Provisions), Act No 13 of 2003",,86045.0,
Asia,Sri Lanka,2019,1992-01-01,"Payment of Gratuity Act [PGA], No.12 of 1983 as last amended by Act No. 62 of 1992",,67527.0,
Asia,Sri Lanka,2019,1985-01-01,"Maternity Benefits Ordinance [MBO], 1941 as last amended by Act No 15 of 2018",,,
Africa,Lesotho,2019,2006-08-04,"Labour Code, Order No. 24 of 1992 [LC]",,31536.0,
Africa,Lesotho,2019,1997-01-01,"Labour Code (Amendment) Act, Act No. 9 of 1997",,85002.0,
Africa,Lesotho,2019,2000-04-25,"Labour Code (Amendment) Act 2000, Act No. 3 of 2000",,69831.0,
Africa,Lesotho,2019,2006-08-04,"Labour Code (Amendment) Act 2006, Act No. 5 of 2006",,74691.0,
