Region,Country,Year,Reference date,Reference,URL,NATLEX ISN,General remarks
Americas,Peru,2019,2015-11-25,"Law on Productivity and Labour Competitiveness [LPCL] of 27 March 1997 as amended by Act Nº 30367, protecting working mothers against arbitrary dismissals and increasing maternity leave of November 2015 (Ley de Productividad y Competitividad Laboral, Decreto Supremo No. 003-97-TR, 2103-97 - in Spanish only), as well as amended by Law No. 30709 (Ley 30709 de 27 de diciembre de 2017) and Legislative Decree No. 1246 (Decreto Legislativo 1246 de 9 de octubre de 2016)",http://www.ilo.org/dyn/natlex/docs/ELECTRONIC/100646/121132/F-1294321055/LEY%2030367%20PERU.pdf,100646.0,
Americas,Peru,2019,2017-05-31,"Regulation on Productivity and Labour Competitiveness [RPLP] of 26 Januray 1996, as last amended by D. S. Nº 007-2017-TR of May 2017.(Reglamento del TUO de la Ley de Productividad y Competitividad Laboral, Decreto Supremo N° 001-96-TR - in Spanish only)",http://spij.minjus.gob.pe/CLP/contenidos.dll/CLPlegcargen/coleccion00000.htm/tomo00433.htm/a%C3%B1o488718.htm/mes496980.htm/dia499008.htm/sector499055.htm/sumilla499056.htm#JD_007-2017-TRudcm,,
Americas,Peru,2019,2013-12-28,"Productive Development and Corporate Growth Act of December 2013 (Texto Único Ordenado de la Ley de Impulso al Desarrollo Productivo y Crecimiento Empresarial, Decreto Supremo 013-2013-PRODUCE)",http://spij.minjus.gob.pe/CLP/contenidos.dll/CLPlegcargen/coleccion00000.htm/tomo00433.htm/a%C3%B1o387765.htm/mes408497.htm/dia410324.htm/sector410370.htm/sumilla410371.htm,,
Americas,Peru,2019,2015-12-01,"Compensation for the Length of Service Law, as last amended by Act No. 30408 of December 2015 (Texto Unico Ordenado del Decreto Legislativo No 650, Ley de Compensación por Tiempo de Servicios. Decreto Supremo N° 001-97-TR - in Spanish only)",http://spij.minjus.gob.pe/CLP/contenidos.dll/CLPlegcargen/coleccion00000.htm/tomo00433.htm/a%C3%B1o461312.htm/mes461313.htm/dia461681.htm/sector461682.htm/sumilla461684.htm#JD_30408AU,,
Americas,Peru,2019,2014-07-14,"New Labour Procedure Law [NLPL], No 29497 of 2010, adopted on 13 January 2010, as last amended by Law No 30229 of June 2014(Ley núm. 29497, Nueva Ley Procesal del Trabajo- only in Spanish).",,,
Asia,Philippines,2019,1987-01-01,Constitution of the Republic of the Philippines,http://www.chanrobles.com/philsupremelaw1.htm,,
Asia,Philippines,2019,2014-11-05,"Labour Code [LC], Presidential Decree No. 442, 1st May 1974, last amended by R.A. No. 10645 of 2014 on Mandatory PhilHealh for All Senior Citizens",http://www.officialgazette.gov.ph/2014/11/05/republic-act-no-10645/,15242.0,
Asia,Philippines,2019,2003-02-17,Department Order No. 40-03: Amending the implementing rules of Book V of the LC,,,
Asia,Philippines,2019,2015-09-07,"Omnibus rules implementing the Labour Code of 1989, as amended by Department Order No.147-15 amending the Implementing Rules and Regulations of Book VI of the Labor Code of the Philippines, as amended, of September 2015",https://www.dole.gov.ph/files/Dept%20Order%20No_%20147-15.pdf,77583.0,
Asia,Philippines,2019,2016-05-30,"Department Order No. 131-B, series of 2016: Revised rules on labour laws compliance system",,,
Asia,Philippines,2019,2017-01-01,"Department Order No. 174: Rules implementing Articles 106-109 of the Labour Code; Department Order No. 183, series of 2017<br/>Implementing rules and regulations of Republic Act No. 10361 “Domestic Workers Act” (Batas Kasambahay Act).",,,
Asia,Philippines,2019,2018-01-01,"Executive Order No. 51, s. 2018; Labour Advisory No. 18, 2018;  Labour Advisory No. 6, series of 2018",,,
Asia,Philippines,2019,2016-07-21,The Anti-Age Discrimination in Employment Act,https://laws.chanrobles.com/republicacts/110_republicacts.php?id=10696,,
Asia,Philippines,2019,2013-01-23,Republic Act No. 10361 “Domestic Workers Act (Batas Kasambahay Act)”.,,,
Asia,Philippines,2019,1998-02-13,Republic Act No. 8504 “Philippine AIDS Prevention and Control Act of 1998”,,,
Europe,Poland,2019,2019-06-06,"Labour Code of June 26, 1974 as last amended 16 May 2019",http://prawo.sejm.gov.pl/isap.nsf/download.xsp/WDU20160001666/U/D20161666Lj.pdf,89780.0,
Europe,Poland,2019,2004-01-01,Act of 13 March 2003 on special principles of termination of employment relationships with employees for reasons not related to employees,,65982.0,
Europe,Portugal,2019,2019-09-04,"Labour Code (Lei n.º 7/2009) of 12 February 2009, as amended by  Law 53/2011 of 14 October 2011, Law 23/2012 of 25 June 2012, Law 47/ 2012 of 29 August 2012, Law 69/2013 of 30 august 2013, Law 27/2014 of 8 May 2014, Law 55/2014 of 25 August 2014, Law 28/2015 of 14 April 2015, Law 120/2015 of 01 September 2015, Law 8/2016 of 01 April 2016, Law 28/2016 of 23 August 2016, Law 42/2016 of 28 December 2016, Law 73/2017 of 16 August 2017, Law 14/2018 of 19 March 2018, Law 90/2019 of 4 September 2019, Law 93/2019 of 4 September 2019<br/>English version of the Labour Code available in:<br/>https://dre.pt/application/conteudo/123169278",https://dre.pt/web/guest/legislacao-consolidada/-/lc/123915628/202004201549/exportPdf/normal/1/cacheLevelPage?_LegislacaoConsolidada_WAR_drefrontofficeportlet_rp=indice,82532.0,
Europe,Portugal,2019,2017-08-16,"Code of Labour Procedure (Código de Processo do Trabalho: Decreto-Lei n.º 480/99, as further amended by Decree-Law 323/2001 of 17/12, Decree-Law 38/2003 of 8/03, Decree-Law 295/2009 of 13/10, Law 63/2013 of 27/08, Law 55/2017 of 17/07, Law 73/2017 of 16/08.",https://dre.pt/web/guest/legislacao-consolidada/-/lc/34575575/view?q=C%C3%B3digo+de+Processo+do+Trabalho,,
Europe,Portugal,2019,2019-09-04,Law 100/2009 of 7 September 2009,https://dre.pt/web/guest/analisejuridica/-/aj/31673268/init/normal?p_p_auth=9mSQNY0l&_AnaliseJuridica_WAR_drefrontofficeportlet_tipoAssocId=162&_AnaliseJuridica_WAR_drefrontofficeportlet_mode=at,,
Americas,Paraguay,2019,2007-11-21,"Código Del Trabajo (Labour Code) - Law nº 729/1961, as amended by Laws nº 213/1993, nº 496/1995 and nº 3384/2007.<br/><br/>http://www.bacn.gov.py/leyes-paraguayas/2514/ley-n-496-modifica-amplia-y-deroga-articulos-de-la-ley-21393-codigo-del-trabajo<br/><br/>https://www.bacn.gov.py/leyes-paraguayas/2608/ley-n-213-establece-el-codigo-del-trabajo<br/><br/>https://www.bacn.gov.py/leyes-paraguayas/3438/ley-n-3384-modifica-el-articulo-62-inciso-j-de-la-ley-n-21393-que-establece-el-codigo-del-trabajo<br/>",https://www.bacn.gov.py/leyes-paraguayas/2515/sanciona-el-codigo-del-trabajo,,
Americas,Paraguay,2019,1961-08-30,Código Procesal Laboral (Labour Code Procedure),https://www.ilo.org/dyn/natlex/natlex4.detail?p_lang=en&p_isn=28860&p_country=PRY&p_classification=01.02,,
Europe,Romania,2019,2011-05-18,Labour Code (Law n° 53/2003 republished in the Official Gazette No. 345 of 18 May 2011,http://www.ilo.org/dyn/natlex/docs/ELECTRONIC/63536/126040/F2072021215/ROM-63536.pdf,63536.0,
Europe,Romania,2019,2011-05-10,Act No. 62 of 10 May 2011 concerning Social Dialogue.,,88307.0,
Europe,Russian Federation,2019,2018-01-01,"Labour Code of 2002, last amended 2018 (consolidated text available only in Russian)","http://www.consultant.ru/cons/cgi/online.cgi?req=doc&base=LAW&n=314838&fld=134&dst=1000000001,0&rnd=0.7572266719176911#022397299012115612",60535.0,
Africa,Rwanda,2019,2018-08-30,Law No. 66/2018 of 30 August 2018 regulating Labour in Rwanda (repealing  Law No 13/2009 of 27 May 2009 regulating labour in Rwanda [LL],https://www.ilo.org/dyn/natlex/natlex4.detail?p_lang=en&p_isn=108704&p_count=21&p_classification=01,,"In 2018, a new Labour Code was adopted. It replaced the 2009 Labour Code."
Arab States,Saudi Arabia,2017,2017-01-29,"Labour Law, Royal Decree No. M/51 as last amended by the Ministerial Resolution No. 50945 adopted on 29 January, 2017",,74429.0,
Europe,Sweden,2017,2010-11-30,"Employment Protection Act [EPA], 1982, last amended by Act (SFS 2016:1271) of 28 December 2016, in force since 1 July 2017<br/>[The English translation provided only includes amendments up to Act (SFS 2008:564)]<br/>",http://www.government.se/4ac87e/contentassets/b58069e2c0f24aa6be53d8932de85d86/sfs-198280-employment-protection-act,10508.0,
Europe,Sweden,2017,2011-09-29,"Employment (Co-Determination in the Workplace) Act (SFS 1976:580), last amended by Act (SFS 2016:1149) of 9 December 2016, in force since 1 January 2017 <br/>[The English translation provided only includes amendments up to SFS 2010:229]<br/>",http://www.government.se/4ac87f/contentassets/bea67b6c1de2488cb454f9acd4064961/sfs-1976580-employment-co-determination-in-the-workplace-act,13980.0,
Europe,Sweden,2017,1990-05-20,"Trade Union Representatives (Status at the Workplace) Act (SFS 1974:358), as amended up to Act 2009:417 of 20 May 2009.<br/>[Note: The English translation provided only includes amendments up to Act (SFS 1990:1039)]<br/>",http://www.ilo.org/dyn/natlex/docs/ELECTRONIC/15263/66005/F478088322/SWE15263.pdf,15263.0,
Europe,Sweden,2017,2009-05-20,"Act Concerning Certain Measures to Promote Employment (1974:13), as amended up to Act (SFS 2009:414) <br/>(in Swedish only)<br/>",http://www.notisum.se/rnp/SLS/lag/19740013.HTM,,
Europe,Sweden,2017,2011-06-09,"Discrimination Act (SFS 2008:567), of 5 June 2008, amended up to Act (SFS 2016:828) of 12 July 2016.<br/>[Note: Amendments adopted between 2009-2011, are not included in the English version of the Act]<br/>",http://www.government.se/contentassets/6732121a2cb54ee3b21da9c628b6bdc7/oversattning-diskrimineringslagen_eng.pdf,,
Europe,Sweden,2017,2016-03-10,"Labour Disputes Act (Judicial Procedure) (1974:371), as last amended by Act (SFS 2016:199) of 10 March 2016, in force since 1 September 2016",http://www.government.se/4ac877/contentassets/ec048ee66c9645d7ace2cf68f99473f4/sfs-1974371-the-labour-disputes-judicial-procedure-act,,
Asia,Singapore,2019,2016-04-01,"The Employment Act (Cap. 91) [EA] of 8 June 1968, as consolidated in April 2016.",https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/3210/61983/F-402045988/SGP3210%202016.pdf,3210.0,"The tripartite partners – the Ministry of Manpower (MOM), the National Trades Union Congress (NTUC) and the Singapore National Employers Federation (SNEF) - have jointly issued a Tripartite Guidelines on Managing Excess Manpower in 2008. It was revised in 2017 as <b>&quot;Tripartite Advisory on Managing Excess Manpower and Responsible Retrenchment&quot;</b> (Available at: https://www.mom.gov.sg/~/media/mom/documents/employment-practices/guidelines/tripartite-advisory-on-managing-excess-manpower-and-responsible-retrenchment.pdf?la=en)."
Asia,Singapore,2019,,Trade Unions Act (Cap. 333).,,54098.0,"The tripartite partners – the Ministry of Manpower (MOM), the National Trades Union Congress (NTUC) and the Singapore National Employers Federation (SNEF) - have jointly issued a Tripartite Guidelines on Managing Excess Manpower in 2008. It was revised in 2017 as <b>&quot;Tripartite Advisory on Managing Excess Manpower and Responsible Retrenchment&quot;</b> (Available at: https://www.mom.gov.sg/~/media/mom/documents/employment-practices/guidelines/tripartite-advisory-on-managing-excess-manpower-and-responsible-retrenchment.pdf?la=en)."
Asia,Singapore,2019,,Industrial Relations Act (Cap. 136),,34678.0,"The tripartite partners – the Ministry of Manpower (MOM), the National Trades Union Congress (NTUC) and the Singapore National Employers Federation (SNEF) - have jointly issued a Tripartite Guidelines on Managing Excess Manpower in 2008. It was revised in 2017 as <b>&quot;Tripartite Advisory on Managing Excess Manpower and Responsible Retrenchment&quot;</b> (Available at: https://www.mom.gov.sg/~/media/mom/documents/employment-practices/guidelines/tripartite-advisory-on-managing-excess-manpower-and-responsible-retrenchment.pdf?la=en)."
Europe,Slovenia,2019,2013-12-14,"The Employment Relationship Act- 1, 2013 [ERA]",http://www.pisrs.si/Pis.web/pregledPredpisa?id=ZAKO5944#,97493.0,
Europe,Slovenia,2019,2004-01-15,The Labor and Social Court Act,http://www.pisrs.si/Pis.web/pregledPredpisa?id=ZAKO3657,,
Europe,Slovakia,2019,2011-07-13,"Labour Code [LC], No. 311 of 2001, consolidated version dated 2018, including amendment up to Act No. 512/2011 Coll. of 14 December 2011, and amendments introduced by  Acts 347/2018 Z. z. and 376/2018 Z. z.",http://www.ilo.org/dyn/eplex/docs/50/labour-code-full-wording-january-2012.pdf,61871.0,"On July 13, 2011, the Labour Code, and in particular the provisions on termination of employment were significantly amended by Act No. 257/2011. The amendments entered into force on September 1, 2011 (with the exception of certain provisions which entered into force on 1st January 2012).<br/>The Labour Code was further amended in December 2011 by Act 512/2011, effective as of 1st January 2012 but there were no changes on EPL."
Africa,Senegal,2019,1997-12-01,"Labour Code [LC], Act No 97-17 of 1st December 1997 (Code du travail - available in French)",,49603.0,
Africa,Senegal,2019,2003-08-20,"Act No. 2003-23 amending the Labour Code<br/>(Loi n° 2003-23 du 20 août 2003, modifiant les articles L24 et L25 du Code du Travail et ajoutant un article L 85 bis même code - available in French)",,66082.0,
Americas,El Salvador,2019,2014-01-01,"Labour Code [LC], 1972, as last amended by Legislative Decree No 227 of December 2015 (Codigo de Trabajo, available only in Spanish)",http://www.csj.gob.sv/leyes.nsf/86d954e1d83eee5786256d48006fd626/46004eae5770911c06256d05005d7c3f?OpenDocument,,
Americas,El Salvador,2019,2014-06-12,"The Constitution of El Salvador, 1983, Titlle II, Chapter II, Section II, as last amended by Legislative Decree 707 of June 2014(Constitución de la República de El Salvador - in Spanish only)",http://www.asamblea.gob.sv/Constitucion/ConstitucionVigente1983.aspx,,
Americas,El Salvador,2019,2000-05-02,Decree No. 888 of 2 May 2000 with regard to equal opportunities for persons with disabilities (Ley de equiparación de oportunidades para las personas con discapacidad - in Spanish only),http://www.csj.gob.sv/leyes.nsf/ef438004d40bd5dd862564520073ab15/a48e7899b0d33a570625692d00706374?OpenDocument,,
Americas,El Salvador,2019,2002-07-11,"Mediation, Conciliation and Arbitration Act ordered by Decree No 914 of July 2002 (Ley de Mediación, Conciliación y Arbitraje – available only in Spanish).",http://www.asamblea.gob.sv/eparlamento/indice-legislativo/buscador-de-documentos-legislativos/ley-de-mediacion-conciliacion-y-arbitraje,,
Americas,El Salvador,2019,2009-05-10,"Civil Service Act, 1961, as last amended by Legislative Decree No. 10 of May 2009 (Ley de Servicio Civil – available only in Spanish)",https://www.asamblea.gob.sv/eparlamento/indice-legislativo/buscador-de-documentos-legislativos/ley-de-servicio-civil,,
Arab States,Syrian Arab Republic,2013,2010-04-12,"Labour Law [LL], No. 17/2010 of 29 March 2010",,84492.0,
Asia,Thailand,2019,1998-02-12,"Labour Protection Act, B.E. 2541, 1998 [LPA]",http://www.mol.go.th/en/anonymouse/labour_law#4,49727.0,"A new Act amending the Labour Protection Act [Labour Protection Act (No. 7)] was adopted in April 2019. Those changes deal with various issues; for example, art.17/1 - termination of employment without prior notice, art.118 - establishing some new rates of severance pay (the length of service more than 10 years but less than 20 years and the length of service more than 20 years), article 120 – relocation of employer’s establishment, etc."
Asia,Thailand,2019,2008-02-15,"Labour Protection Act (No. 2), B.E. 2551, 2008 [LPA-No2]",,81030.0,"A new Act amending the Labour Protection Act [Labour Protection Act (No. 7)] was adopted in April 2019. Those changes deal with various issues; for example, art.17/1 - termination of employment without prior notice, art.118 - establishing some new rates of severance pay (the length of service more than 10 years but less than 20 years and the length of service more than 20 years), article 120 – relocation of employer’s establishment, etc."
Asia,Thailand,2019,2008-02-15,"Labour Protection Act (No. 3), B.E. 2551, 2008 [LPA-No3]",,81031.0,"A new Act amending the Labour Protection Act [Labour Protection Act (No. 7)] was adopted in April 2019. Those changes deal with various issues; for example, art.17/1 - termination of employment without prior notice, art.118 - establishing some new rates of severance pay (the length of service more than 10 years but less than 20 years and the length of service more than 20 years), article 120 – relocation of employer’s establishment, etc."
Asia,Thailand,2019,2010-12-27,"Labour Protection Act (No. 4) of December 2010, B.E. 2553, in force since July 2011.",,89336.0,"A new Act amending the Labour Protection Act [Labour Protection Act (No. 7)] was adopted in April 2019. Those changes deal with various issues; for example, art.17/1 - termination of employment without prior notice, art.118 - establishing some new rates of severance pay (the length of service more than 10 years but less than 20 years and the length of service more than 20 years), article 120 – relocation of employer’s establishment, etc."
Asia,Thailand,2019,2017-01-23,"Labour Protection Act (No. 5), B.E. 2560 of January 2017",,103608.0,"A new Act amending the Labour Protection Act [Labour Protection Act (No. 7)] was adopted in April 2019. Those changes deal with various issues; for example, art.17/1 - termination of employment without prior notice, art.118 - establishing some new rates of severance pay (the length of service more than 10 years but less than 20 years and the length of service more than 20 years), article 120 – relocation of employer’s establishment, etc."
Asia,Thailand,2019,2017-08-27,"Labour Protection Act (No. 6), B.E. 2560 of August 2017",,107395.0,"A new Act amending the Labour Protection Act [Labour Protection Act (No. 7)] was adopted in April 2019. Those changes deal with various issues; for example, art.17/1 - termination of employment without prior notice, art.118 - establishing some new rates of severance pay (the length of service more than 10 years but less than 20 years and the length of service more than 20 years), article 120 – relocation of employer’s establishment, etc."
Asia,Thailand,2019,2019-04-04,"Labour Protection Act (No. 7), B.E. 2562 of April 2019",http://www.cpg-online.de/wp-content/uploads/2019/04/LABOUR-PROTECTION-ACT_No7_amended.pdf,,"A new Act amending the Labour Protection Act [Labour Protection Act (No. 7)] was adopted in April 2019. Those changes deal with various issues; for example, art.17/1 - termination of employment without prior notice, art.118 - establishing some new rates of severance pay (the length of service more than 10 years but less than 20 years and the length of service more than 20 years), article 120 – relocation of employer’s establishment, etc."
Asia,Thailand,2019,2008-01-01,"Civil and Commercial Code: Book 3, Title VI: Hire of Services, 1985, as amended to Code (No.18), B.E.2551, 2008 [CCC]",,5096.0,"A new Act amending the Labour Protection Act [Labour Protection Act (No. 7)] was adopted in April 2019. Those changes deal with various issues; for example, art.17/1 - termination of employment without prior notice, art.118 - establishing some new rates of severance pay (the length of service more than 10 years but less than 20 years and the length of service more than 20 years), article 120 – relocation of employer’s establishment, etc."
Asia,Thailand,2019,1979-04-30,"Act on Establishment of Labour Courts and Labour Court Procedure, B.E. 2522, 1979 [ALC]",,5090.0,"A new Act amending the Labour Protection Act [Labour Protection Act (No. 7)] was adopted in April 2019. Those changes deal with various issues; for example, art.17/1 - termination of employment without prior notice, art.118 - establishing some new rates of severance pay (the length of service more than 10 years but less than 20 years and the length of service more than 20 years), article 120 – relocation of employer’s establishment, etc."
Asia,Thailand,2019,2007-08-30,"Act on Establishment of Labour Courts and Labour Court Procedure (No. 2), B.E. 2550 of August 2007",,,"A new Act amending the Labour Protection Act [Labour Protection Act (No. 7)] was adopted in April 2019. Those changes deal with various issues; for example, art.17/1 - termination of employment without prior notice, art.118 - establishing some new rates of severance pay (the length of service more than 10 years but less than 20 years and the length of service more than 20 years), article 120 – relocation of employer’s establishment, etc."
Asia,Thailand,2019,2015-12-04,"Act on Establishment of Labour Courts and Labour Court Procedure (No.3), B.E. 2558 of December 2015",,,"A new Act amending the Labour Protection Act [Labour Protection Act (No. 7)] was adopted in April 2019. Those changes deal with various issues; for example, art.17/1 - termination of employment without prior notice, art.118 - establishing some new rates of severance pay (the length of service more than 10 years but less than 20 years and the length of service more than 20 years), article 120 – relocation of employer’s establishment, etc."
Asia,Thailand,2019,2015-12-04,"Act on Establishment of the Court of Appeal for Specialized Cases, B.E. 2558 of December 2015",,,"A new Act amending the Labour Protection Act [Labour Protection Act (No. 7)] was adopted in April 2019. Those changes deal with various issues; for example, art.17/1 - termination of employment without prior notice, art.118 - establishing some new rates of severance pay (the length of service more than 10 years but less than 20 years and the length of service more than 20 years), article 120 – relocation of employer’s establishment, etc."
Asia,Thailand,2019,1975-01-01,"Labour Relations Act, BE 2518, 1975 [LRA]",,14497.0,"A new Act amending the Labour Protection Act [Labour Protection Act (No. 7)] was adopted in April 2019. Those changes deal with various issues; for example, art.17/1 - termination of employment without prior notice, art.118 - establishing some new rates of severance pay (the length of service more than 10 years but less than 20 years and the length of service more than 20 years), article 120 – relocation of employer’s establishment, etc."
Europe,Tajikistan,2019,2012-01-08,Labour Code of the Republic of Tajikistan as last amended by Law #1329 of 23.07.2016<br/><br/>See: http://mmk.tj/ru/legislation/legislation-base/codecs/,http://mehnat.tj/mehnat/en/main/,48035.0,
Europe,Turkmenistan,2019,2012-01-18,"Labour Code, entered into force on 1st July 2009 (in Russian) as last amended in February 2019.<br/>",https://online.zakon.kz/document/?doc_id=31348675&page=1,83620.0,
Africa,Tunisia,2019,1996-07-15,"Labour Code [LC], Act No 66-27 of 30 April 1966, consolidated version (2011) including amendments up to July 1996 (Act No. 96-62)<br/>[Code du travail, dans sa teneur révisée au 15 juillet 1996 (2011) - in French]",,44414.0,
Africa,Tunisia,2019,2006-05-02,"Act No. 2006-18 of 2 May 2006 modifying some provisions of the Labour Code<br/>(Loi n° 2006-18 du 2 mai 2006, modifiant et complétant certaines dispositions du code du travail - available in French)",,73680.0,
Africa,Tunisia,2019,2007-04-02,Act No. 2007-19 of 2 April 2007 modifying some provisions of the Labour Code<br/>(Loi n° 2007-19 du 2 avril 2007 portant modification de certaines dispositions du Code du travail - available in French),,75853.0,
Africa,Tunisia,2019,2011-01-03,Act No. 2011-4 of 3 January 2011 supplementing the provisions of Article 234 of the Labour Code)<br/>(Loi n° 2011-4 du 3 janvier 2011 complétant les dispositions de l&apos;article 234 du Code du travail),,86016.0,
Africa,Tunisia,2019,2011-06-06,"Law-Decree no. 2011-51 of 6 June 2011 amending the Labour Code<br/>(Décret-loi n° 2011-51 du 6 juin 2011, portant modification du Code du travail)",,87951.0,
Europe,Türkiye,2019,2009-02-18,"Labour Act [LA], No. 4857 of 22 May 2003.<br/>[Note that this Act was amended by several acts (No. 5838 2009, Act No. 5763 of 2008, Act No. 5754 of 2008, Act No. 5538 of 2006, Act No. 5378 of 2005, Act No. 4884 of 2003, see NATLEX).",,64083.0,
Europe,Türkiye,2019,2012-10-18,Law on Trade Unions and Collective Labour Agreements No.6356 (replacing Laws No. 2821 and No.2822),https://www.ilo.org/dyn/natlex/natlex4.detail?p_lang=en&p_isn=91814&p_country=TUR&p_count=781&p_classification=02&p_classcount=44,91814.0,
Europe,Türkiye,2019,2012-12-20,Code of Obligations of 19 December 2012,,88938.0,
Europe,Türkiye,2019,2017-10-25,Law on Labor Courts No. 7036,,,
Africa,"Tanzania, United Republic of",2019,2004-06-04,Employment and Labour Relations Act (No. 6 of 2004) [ELRA],,68319.0,"In 2017, the Employment and Labour Relations (General) Regulations, 2017 were enacted to improve the implementation of ELRA."
Africa,"Tanzania, United Republic of",2019,2004-06-04,Labour Institutions Act (No. 7 of 2004),,68356.0,"In 2017, the Employment and Labour Relations (General) Regulations, 2017 were enacted to improve the implementation of ELRA."
Africa,"Tanzania, United Republic of",2019,2015-09-18,"Employment and Labour Laws (Miscellaneous Amendments) Act, 2015 (No. 24 of 2015)",https://www.ilo.org/dyn/natlex/natlex4.detail?p_lang=en&p_isn=100754,100754.0,"In 2017, the Employment and Labour Relations (General) Regulations, 2017 were enacted to improve the implementation of ELRA."
Africa,"Tanzania, United Republic of",2019,2017-02-24,"The Employment and Labour Relations (General) Regulations, 2017",https://www.ilo.org/dyn/natlex/natlex4.detail?p_lang=en&p_isn=104378,104378.0,"In 2017, the Employment and Labour Relations (General) Regulations, 2017 were enacted to improve the implementation of ELRA."
Africa,"Tanzania, United Republic of",2019,2007-01-24,"Employment and Labour Relations (Code of Good Practice) Rules, 2007 (GN No. 42 of 2007).",,,"In 2017, the Employment and Labour Relations (General) Regulations, 2017 were enacted to improve the implementation of ELRA."
Europe,Ukraine,2019,2012-10-16,"Law on Employment, adopted in 2013<br/><br/>Labour Code of 1972 as last amended by Law No 4711-VI on October 16, 2012",http://zakon1.rada.gov.ua/laws/show/322-08/page,46087.0,"Law on Employment, adopted in 2013, compared to the Labour Code of 1972, contains only a new definition of mass redundancy"
Europe,Ukraine,2019,2011-02-01,"Ministry of Justice Clarification on the Dismissal Procedure, in Ukrainian",https://zakon.rada.gov.ua/laws/show/n0003323-11,,"Law on Employment, adopted in 2013, compared to the Labour Code of 1972, contains only a new definition of mass redundancy"
Europe,Ukraine,2019,2010-01-01,Civil Procedure Code,www.wipo.int/wipolex/fr/text.jsp?file_id=187648,,"Law on Employment, adopted in 2013, compared to the Labour Code of 1972, contains only a new definition of mass redundancy"
Africa,Uganda,2019,2006-05-24,"Employment Act [EA], Act No. 6 of 2006",,74416.0,
Africa,Uganda,2019,2006-05-24,"The Labour Disputes (Arbitration and Settlement) Act [LDA], Act No. 8 of 2006",,74413.0,
Africa,Uganda,2019,2011-04-28,"The Employment Regulations, 2011, Statutory Instrument No. 61 of 2011",,86721.0,
Americas,United States,2017,2011-11-18,"Civil Rights Act [CRA] of 1964 (Title VII), as last amended by the Lilly Ledbetter Fair Pay Act 2009 and Public Law 112-55 of  November 2011, 42 U.S.C.A. secs. 2000e to 2000e-17",http://www.law.cornell.edu/uscode/text/42/chapter-21/subchapter-VI,31147.0,"<b>There is no federal law regulating the termination of employment as such. The United States has an &quot;at will&quot; employment system which allows for the dismissal of workers for any reason, or for no reason at all. In addition, there are no statutory procedural requirements to be observed with the exception of notice requirements in the event of mass dismissal, as set out in the WARN Act)</b>.<br/>In the American States, with the exceptions of the State of Montana, the Commonwealth of Puerto Rico, and the non-metropolitan territory of the US Virgin Islands, as yet there is no legislation specifically focused on employment termination.<br/><br/>Most of the laws listed under &quot;reference&quot; are federal anti discrimination laws which operate to provide some measure of protection to employees in regard to termination.<br/>The relevant federal statutes listed here are supplemented in many of the fifty states by similar legislation.<br/><br/>It is worth noting that an attempt has been made to provide legislative guidelines for dismissals under a model act. In 1991, the National Conference of Commissioners of Uniform State Laws adopted a Model Employment Termination Act (META) which would protect workers from dismissal without good cause by an employer. The model legislation is similar in scope and intention to the ILO Termination of Employment Convention, 1982 (No. 158). As of 2010, only Delaware has enacted a version of META.<br/><br/><br/>"
Americas,United States,2017,1990-04-18,"National Labor Relations Act of 1935 [NLRA], as amended through April 18, 1990, 29 U.S.C. secs. 151-169",http://www.nlrb.gov/national-labor-relations-act,31133.0,"<b>There is no federal law regulating the termination of employment as such. The United States has an &quot;at will&quot; employment system which allows for the dismissal of workers for any reason, or for no reason at all. In addition, there are no statutory procedural requirements to be observed with the exception of notice requirements in the event of mass dismissal, as set out in the WARN Act)</b>.<br/>In the American States, with the exceptions of the State of Montana, the Commonwealth of Puerto Rico, and the non-metropolitan territory of the US Virgin Islands, as yet there is no legislation specifically focused on employment termination.<br/><br/>Most of the laws listed under &quot;reference&quot; are federal anti discrimination laws which operate to provide some measure of protection to employees in regard to termination.<br/>The relevant federal statutes listed here are supplemented in many of the fifty states by similar legislation.<br/><br/>It is worth noting that an attempt has been made to provide legislative guidelines for dismissals under a model act. In 1991, the National Conference of Commissioners of Uniform State Laws adopted a Model Employment Termination Act (META) which would protect workers from dismissal without good cause by an employer. The model legislation is similar in scope and intention to the ILO Termination of Employment Convention, 1982 (No. 158). As of 2010, only Delaware has enacted a version of META.<br/><br/><br/>"
